delivery_date,route_id,vehicle_id_list,route_name,store_count,sum_ambient_turnover_boxes,sum_ambient_cartons,sum_ambient_full_cases,sum_frozen_bags,sum_frozen_cartons,route_load_other,trip_distance_km_one_way,missing_segment_count
2025-11-08,555,京N7JE86,北京站,1,0.0,2.0,31.0,1.0,0.0,0.095175,34.333,0
2025-11-08,666,京ERX335,朝阳高铁,1,0.0,0.0,15.0,3.0,0.0,0.064474,24.393,0
2025-11-08,777,京FNV919,北京南站,3,0.0,0.0,0.0,6.0,0.0,0.05,39.645,0
2025-11-10,555,京N7JE86,北京站,1,6.0,11.0,35.0,1.0,0.0,0.158371,34.333,0
2025-11-10,666,京ERX335,朝阳高铁站,1,4.0,3.0,24.0,7.0,1.0,0.151341,24.393,0
2025-11-10,777,京FNV919,北京南站,3,0.0,0.0,0.0,6.0,0.0,0.05,39.645,0
2025-11-11,555,京N7JE86,北京站,1,1.0,0.0,16.0,0.0,0.0,0.046936,34.333,0
2025-11-11,666,京ERX335,朝阳高铁站,1,0.0,0.0,53.0,6.0,0.0,0.189474,24.393,0
2025-11-11,777,京FNV919,北京南站,3,0.0,0.0,0.0,10.0,2.0,0.088596,39.645,0
2025-11-12,555,京N7JE86,北京站,1,1.0,3.0,19.0,0.0,0.0,0.062726,34.333,0
2025-11-12,666,京ERX335,朝阳高铁站,1,6.0,0.0,42.0,4.0,0.0,0.172845,24.393,0
2025-11-12,777,京FNV919,北京南站,3,32.0,24.0,181.0,5.0,0.0,0.73573,39.645,0
2025-11-13,555,京N7JE86,北京站,1,0.0,0.0,41.0,1.0,0.0,0.116228,34.333,0
2025-11-13,666,京ERX335,朝阳高铁站,1,1.0,0.0,217.0,4.0,0.0,0.609217,24.393,0
2025-11-13,777,京FNV919,北京南站,3,3.0,2.0,180.0,2.0,0.0,0.510107,39.645,0
2025-11-14,555,京N7JE86,北京站,1,2.0,4.0,9.0,1.0,0.0,0.052206,34.333,0
2025-11-14,666,京ERX335,朝阳高铁站,1,5.0,4.0,109.0,4.0,0.0,0.354856,24.393,0
2025-11-14,777,京FNV919,北京南站,3,0.0,0.0,0.0,7.0,1.0,0.060965,39.645,0
2025-11-15,555,京MHE650,北京站,1,0.0,0.0,49.0,1.0,0.0,0.137281,34.333,0
2025-11-15,666,京ERX335,朝阳高铁,1,2.0,7.0,190.0,3.0,0.0,0.553083,24.393,0
2025-11-15,777,京FNV919,北京南站,3,0.0,0.0,0.0,12.0,0.0,0.1,39.645,0
2025-11-17,555,京N7JE86,北京站,1,2.0,8.0,37.0,0.0,0.0,0.128083,34.333,0
2025-11-17,666,京FQM008,朝阳高铁站,1,9.0,16.0,214.0,5.0,0.0,0.690408,24.393,0
2025-11-17,701,京FQM008,延庆加车,1,0.0,0.0,0.0,4.0,3.0,0.041228,82.462,0
2025-11-17,777,京FNV919,北京南站,3,0.0,0.0,0.0,9.0,4.0,0.085526,39.645,0
2025-11-18,555,京N7JE86,北京站,1,0.0,1.0,38.0,2.0,0.0,0.119298,34.333,0
2025-11-18,666,京FQM008,朝阳高铁站,1,1.0,11.0,196.0,4.0,0.0,0.582901,24.393,0
2025-11-18,701,京FQM008,延庆加车,1,0.0,0.0,0.0,5.0,1.0,0.044298,82.462,0
2025-11-18,777,京FNV919,北京南站,3,0.0,0.0,0.0,6.0,0.0,0.05,39.645,0
2025-11-19,555,京N7JE86,北京站,1,0.0,2.0,0.0,1.0,0.0,0.013596,34.333,0
2025-11-19,666,京FQM008,朝阳高铁站,1,0.0,0.0,0.0,3.0,0.0,0.025,24.393,0
2025-11-19,777,京FNV919,北京南站,3,27.0,20.0,140.0,4.0,0.0,0.584821,39.645,0
2025-11-20,555,京N7JE86,北京站,1,1.0,0.0,39.0,0.0,0.0,0.107462,34.333,0
2025-11-20,666,京FQM008,朝阳高铁站,1,2.0,4.0,224.0,6.0,0.0,0.659662,24.393,0
2025-11-20,777,京FNV919,北京南站,3,4.0,5.0,211.0,6.0,0.0,0.637745,39.645,0
2025-11-21,555,京N7JE86,北京站,1,1.0,1.0,7.0,0.0,0.0,0.025884,34.333,0
2025-11-21,666,京FQM008,朝阳高铁站,1,11.0,16.0,90.0,7.0,1.0,0.393052,24.393,0
2025-11-21,777,京FNV919,北京南站,3,0.0,0.0,0.0,7.0,0.0,0.058333,39.645,0
2025-11-22,555,京MHE650,北京站,1,0.0,0.0,15.0,1.0,0.0,0.047807,34.333,0
2025-11-22,666,京FQM008,朝阳高铁,1,1.0,5.0,110.0,3.0,0.0,0.332462,24.393,0
2025-11-22,777,京FNV919,北京南站,3,0.0,0.0,0.0,5.0,0.0,0.041667,39.645,0
2025-11-24,555,京N7JE86,北京站,1,5.0,1.0,57.0,1.0,0.0,0.18512,34.333,0
2025-11-24,666,京FQM008,朝阳高铁站,1,0.0,0.0,0.0,8.0,0.0,0.066667,24.393,0
2025-11-24,777,京FNV919,北京南站,3,20.0,13.0,144.0,7.0,0.0,0.56811,39.645,0
2025-11-25,555,京N7JE86,北京站,1,1.0,0.0,33.0,1.0,0.0,0.100006,34.333,0
2025-11-25,666,京FQM008,朝阳高铁站,1,3.0,8.0,81.0,6.0,1.0,0.301335,24.393,0
2025-11-25,777,京FNV919,北京南站,3,5.0,3.0,237.0,6.0,2.0,0.710997,39.645,0
2025-11-26,555,京N7JE86,北京站,1,2.0,2.0,13.0,1.0,0.0,0.057469,34.333,0
2025-11-26,666,京FQM008,朝阳高铁站,1,14.0,66.0,142.0,4.0,0.0,0.648335,24.393,0
2025-11-26,777,京FNV919,北京南站,3,20.0,10.0,171.0,3.0,0.0,0.597934,39.645,0
2025-11-27,555,京N7JE86,北京站,1,0.0,0.0,45.0,0.0,0.0,0.118421,34.333,0
2025-11-27,666,京FQM008,朝阳高铁站,1,1.0,7.0,120.0,3.0,0.0,0.364041,24.393,0
2025-11-27,777,京FNV919,北京南站,3,2.0,5.0,221.0,5.0,0.0,0.646065,39.645,0
2025-11-28,555,京N7JE86,北京站,1,4.0,5.0,19.0,0.0,0.0,0.082482,34.333,0
2025-11-28,666,京FQM008,朝阳高铁站,1,14.0,18.0,75.0,7.0,0.0,0.370703,24.393,0
2025-11-28,777,京FNV919,北京南站,3,0.0,0.0,0.0,9.0,0.0,0.075,39.645,0
2025-11-29,555,京N7JE86,北京站,1,0.0,1.0,49.0,0.0,0.0,0.131579,34.333,0
2025-11-29,666,京FQM008,朝阳高铁,1,1.0,20.0,125.0,3.0,0.0,0.41141,24.393,0
2025-11-29,777,京FNV919,北京南站,3,0.0,0.0,0.0,6.0,0.0,0.05,39.645,0
2025-12-01,555,京N7JE86,北京站,1,1.0,2.0,13.0,1.0,0.0,0.052638,34.333,0
2025-12-01,666,京FQM008,朝阳高铁站,1,7.0,18.0,107.0,4.0,0.0,0.396097,24.393,0
2025-12-01,777,京FNV919,北京南站,3,26.0,21.0,170.0,5.0,0.0,0.669902,39.645,0
2025-12-02,555,京N7JE86,北京站,1,0.0,2.0,19.0,0.0,0.0,0.055263,34.333,0
2025-12-02,666,京FQM008,朝阳高铁站,1,1.0,1.0,170.0,2.0,0.0,0.471498,24.393,0
2025-12-02,777,京FNV919,北京南站,3,4.0,4.0,206.0,3.0,1.0,0.599587,39.645,0
2025-12-03,555,京N7JE86,北京站,1,2.0,1.0,17.0,1.0,0.0,0.065364,34.333,0
2025-12-03,666,京FQM008,朝阳高铁站,1,11.0,35.0,154.0,5.0,1.0,0.594807,24.393,0
2025-12-03,777,京FNV919,北京南站,3,15.0,8.0,240.0,4.0,0.0,0.758429,39.645,0
2025-12-04,555,京N7JE86,北京站,1,1.0,1.0,39.0,0.0,0.0,0.110094,34.333,0
2025-12-04,666,京FQM008,朝阳高铁站,1,0.0,1.0,111.0,3.0,0.0,0.319737,24.393,0
2025-12-04,777,京FNV919,北京南站,3,3.0,1.0,156.0,6.0,0.0,0.477651,39.645,0
2025-12-05,555,京N7JE86,北京站,1,3.0,2.0,21.0,0.0,0.0,0.075019,34.333,0
2025-12-05,666,京FQM008,朝阳高铁站,1,10.0,7.0,129.0,6.0,0.0,0.456204,24.393,0
2025-12-05,777,京FNV919,北京南站,3,22.0,14.0,180.0,0.0,0.0,0.616807,39.645,0
2025-12-06,555,京N7JE86,北京站,1,0.0,0.0,41.0,1.0,0.0,0.116228,34.333,0
2025-12-06,666,京FQM008,朝阳高铁,1,0.0,0.0,102.0,3.0,0.0,0.293421,24.393,0
2025-12-06,777,京FNV919,北京南站,3,0.0,0.0,0.0,5.0,0.0,0.041667,39.645,0
2025-12-08,555,京N7JE86,北京站,1,2.0,1.0,23.0,1.0,0.0,0.081153,34.333,0
2025-12-08,666,京FQM008,朝阳高铁站,1,15.0,36.0,130.0,5.0,0.0,0.550973,24.393,0
2025-12-08,777,京FNV919,北京南站,3,0.0,0.0,0.0,6.0,1.0,0.052632,39.645,0
2025-12-09,555,京N7JE86,北京站,1,0.0,1.0,55.0,1.0,0.0,0.155702,34.333,0
2025-12-09,666,京FQM008,朝阳高铁站,1,4.0,5.0,236.0,6.0,2.0,0.708797,24.393,0
2025-12-09,777,京FNV919,北京南站,3,3.0,4.0,207.0,7.0,0.0,0.628089,39.645,0
2025-12-10,555,京N7JE86,北京站,1,3.0,1.0,2.0,0.0,0.0,0.022387,34.333,0
2025-12-10,666,京FQM008,朝阳高铁站,1,21.0,65.0,97.0,4.0,0.0,0.561098,24.393,0
2025-12-10,777,京FNV919,北京南站,3,20.0,13.0,194.0,4.0,0.0,0.674689,39.645,0
2025-12-11,555,京N7JE86,北京站,1,0.0,0.0,6.0,0.0,0.0,0.015789,34.333,0
2025-12-11,666,京FQM008,朝阳高铁站,1,1.0,4.0,177.0,5.0,0.0,0.522813,24.393,0
2025-12-11,777,京FNV919,北京南站,3,4.0,3.0,204.0,6.0,0.0,0.614061,39.645,0
2025-12-12,555,京N7JE86,北京站,1,2.0,4.0,4.0,1.0,0.0,0.039048,34.333,0
2025-12-12,666,京FQM008,朝阳高铁站,1,2.0,1.0,60.0,6.0,1.0,0.22282,24.393,0
2025-12-12,777,京FNV919,北京南站,3,23.0,12.0,164.0,1.0,0.0,0.582602,39.645,0
2025-12-13,555,京N7JE86,北京站,1,1.0,0.0,44.0,1.0,0.0,0.128954,34.333,0
2025-12-13,666,京FQM008,朝阳高铁,1,0.0,1.0,134.0,3.0,2.0,0.385526,24.393,0
2025-12-13,777,京FNV919,北京南站,3,0.0,0.0,0.0,7.0,1.0,0.060965,39.645,0
2025-12-15,555,京N7JE86,北京站,1,4.0,3.0,52.0,1.0,0.0,0.172394,34.333,0
2025-12-15,666,京FQM008,朝阳高铁站,1,16.0,29.0,121.0,4.0,0.0,0.505365,24.393,0
2025-12-15,777,京FNV919,北京南站,3,31.0,22.0,150.0,5.0,0.0,0.644057,39.645,0
2025-12-16,555,京N7JE86,北京站,1,1.0,0.0,41.0,1.0,0.0,0.121059,34.333,0
2025-12-16,666,京FQM008,朝阳高铁站,1,2.0,0.0,257.0,3.0,0.0,0.710978,24.393,0
2025-12-16,777,京FNV919,北京南站,3,3.0,5.0,202.0,6.0,0.0,0.60923,39.645,0
2025-12-17,555,京N7JE86,北京站,1,1.0,3.0,11.0,0.0,0.0,0.041673,34.333,0
2025-12-17,666,京FQM008,朝阳高铁站,1,7.0,30.0,41.0,3.0,0.0,0.245659,24.393,0
2025-12-17,777,京FNV919,北京南站,3,17.0,13.0,163.0,5.0,0.0,0.58695,39.645,0
2025-12-18,555,京N7JE86,北京站,1,0.0,0.0,20.0,0.0,0.0,0.052632,34.333,0
2025-12-18,666,京FQM008,朝阳高铁站,1,1.0,4.0,131.0,5.0,1.0,0.404392,24.393,0
2025-12-18,777,京FNV919,北京南站,3,4.0,1.0,184.0,4.0,0.0,0.539499,39.645,0
2025-12-19,555,京N7JE86,北京站,1,4.0,2.0,18.0,1.0,0.0,0.080289,34.333,0
2025-12-19,666,京FQM008,朝阳高铁站,1,6.0,60.0,109.0,7.0,0.0,0.532056,24.393,0
2025-12-19,777,京FNV919,北京南站,3,0.0,0.0,0.0,7.0,0.0,0.058333,39.645,0
2025-12-20,555,京MHE650,北京站,1,0.0,1.0,28.0,0.0,0.0,0.076316,34.333,0
2025-12-20,666,京FQM008,朝阳高铁,1,1.0,2.0,32.0,5.0,2.0,0.141234,24.393,0
2025-12-20,777,京FNV919,北京南站,3,0.0,0.0,0.0,8.0,1.0,0.069298,39.645,0
2025-12-22,555,京N7JE86,北京站,1,0.0,2.0,25.0,0.0,0.0,0.071053,34.333,0
2025-12-22,666,京FQM008,朝阳高铁站,1,18.0,8.0,101.0,5.0,0.0,0.415465,24.393,0
2025-12-22,777,京FNV919,北京南站,3,30.0,16.0,213.0,1.0,0.0,0.755892,39.645,0
2025-12-23,555,京N7JE86,北京站,1,0.0,1.0,38.0,1.0,0.0,0.110965,34.333,0
2025-12-23,666,京FQM008,朝阳高铁站,1,1.0,4.0,126.0,4.0,0.0,0.38027,24.393,0
2025-12-23,777,京FNV919,北京南站,3,4.0,3.0,204.0,8.0,0.0,0.630727,39.645,0
2025-12-24,555,京N7JE86,北京站,2,2.0,2.0,13.0,2.0,2.0,0.071065,34.334,0
2025-12-24,666,京FQM008,朝阳高铁站,1,4.0,8.0,67.0,4.0,3.0,0.25792,24.393,0
2025-12-24,777,京FNV919,北京南站,3,19.0,10.0,139.0,2.0,0.0,0.500559,39.645,0
2025-12-25,555,京N7JE86,北京站,2,0.0,1.0,13.0,0.0,0.0,0.036842,34.334,0
2025-12-25,666,京FQM008,朝阳高铁站,1,1.0,3.0,203.0,6.0,2.0,0.602199,24.393,0
2025-12-25,777,京FNV919,北京南站,3,3.0,2.0,214.0,5.0,0.0,0.62458,39.645,0
2025-12-26,555,京N7JE86,北京站,2,4.0,5.0,20.0,0.0,0.0,0.085113,34.334,0
2025-12-26,666,京FQM008,朝阳高铁站,1,26.0,17.0,205.0,8.0,0.0,0.776481,24.393,0
2025-12-26,777,京FNV919,北京南站,3,28.0,15.0,191.0,0.0,0.0,0.677371,39.645,0
2025-12-27,555,京N7JE86,北京站,2,1.0,0.0,42.0,1.0,0.0,0.123691,34.334,0
2025-12-27,666,京FQM008,朝阳高铁,1,0.0,12.0,232.0,5.0,0.0,0.683772,24.393,0
2025-12-27,777,京FNV919,北京南站,3,0.0,0.0,0.0,8.0,0.0,0.066667,39.645,0
2025-12-29,555,京N7JE86,北京站,2,3.0,23.0,138.0,2.0,0.0,0.454844,34.334,0
2025-12-29,666,京FQM008,朝阳高铁站,1,15.0,104.0,110.0,6.0,1.0,0.688253,24.393,0
2025-12-29,777,京FNV919,北京南站,3,0.0,0.0,0.0,4.0,0.0,0.033333,39.645,0
2025-12-30,555,京N7JE86,北京站,2,1.0,3.0,144.0,1.0,2.0,0.40527,34.334,0
2025-12-30,666,京HKB181,朝阳高铁站,1,0.0,0.0,0.0,5.0,2.0,0.04693,24.393,0
2025-12-30,777,京FNV919,北京南站,3,0.0,0.0,0.0,8.0,0.0,0.066667,39.645,0
2025-12-31,555,京N7JE86,北京站,2,6.0,5.0,18.0,1.0,0.0,0.097845,34.334,0
2025-12-31,666,京HJH201,朝阳高铁站,1,0.0,0.0,0.0,10.0,0.0,0.083333,24.393,0
2025-12-31,777,京FNV919,北京南站,3,0.0,0.0,0.0,7.0,2.0,0.063596,39.645,0
2026-01-01,555,京N7JE86,北京站,2,1.0,1.0,35.0,1.0,0.0,0.107901,34.334,0
2026-01-01,666,京HJH201,朝阳高铁站,1,0.0,0.0,0.0,9.0,0.0,0.075,24.393,0
2026-01-01,777,京FNV919,北京南站,3,0.0,0.0,0.0,7.0,2.0,0.063596,39.645,0
2026-01-02,555,京N7JE86,北京站,2,2.0,3.0,54.0,1.0,0.0,0.167995,34.334,0
2026-01-02,666,京HJH201,朝阳高铁站,1,0.0,0.0,0.0,5.0,0.0,0.041667,24.393,0
2026-01-02,777,京FNV919,北京南站,3,0.0,0.0,0.0,15.0,1.0,0.127632,39.645,0
2026-01-03,555,京N7JE86,北京站,2,0.0,0.0,58.0,2.0,0.0,0.169298,34.334,0
2026-01-03,666,京HJH201,朝阳高铁站,1,1.0,0.0,65.0,3.0,0.0,0.200884,24.393,0
2026-01-03,777,京FNV919,北京南站,3,1.0,0.0,268.0,17.0,1.0,0.854392,39.645,0
2026-01-05,555,京N7JE86,北京站,2,6.0,3.0,59.0,1.0,0.0,0.200477,34.334,0
2026-01-05,666,京HJH201,朝阳高铁站,1,4.0,7.0,26.0,2.0,1.0,0.125464,24.393,0
2026-01-05,777,京FNV919,北京南站,3,21.0,10.0,73.0,1.0,1.0,0.330835,39.645,0
2026-01-06,555,京N7JE86,北京站,2,2.0,2.0,65.0,1.0,0.0,0.194311,34.334,0
2026-01-06,666,京HJH201,朝阳高铁站,1,0.0,5.0,19.0,2.0,0.0,0.079825,24.393,0
2026-01-06,701,京FNV919,市区加车,2,2.0,6.0,127.0,0.0,0.0,0.359662,49.047,0
2026-01-06,777,京FNV919,北京南站,3,3.0,5.0,77.0,3.0,1.0,0.257914,39.645,0
2026-01-07,555,京N7JE86,北京站,3,4.0,9.0,15.0,22.0,0.0,0.265815,34.335,0
2026-01-07,666,京HJH201,朝阳高铁站,1,6.0,4.0,11.0,2.0,0.0,0.085126,24.393,0
2026-01-07,777,京FNV919,北京南站,3,13.0,10.0,54.0,3.0,0.0,0.256223,39.645,0
2026-01-08,555,京N7JE86,北京站,3,1.0,3.0,60.0,1.0,0.0,0.178954,34.335,0
2026-01-08,666,京HJH201,朝阳高铁站,1,0.0,0.0,29.0,4.0,0.0,0.109649,24.393,0
2026-01-08,777,京FNV919,北京南站,3,1.0,4.0,89.0,4.0,0.0,0.282901,39.645,0
2026-01-09,555,京N7JE86,北京站,3,5.0,7.0,25.0,0.0,0.0,0.108365,34.335,0
2026-01-09,666,京HJH201,朝阳高铁站,1,11.0,13.0,29.0,5.0,1.0,0.207965,24.393,0
2026-01-09,777,京FNV919,北京南站,3,18.0,15.0,152.0,3.0,0.0,0.55143,39.645,0
2026-01-10,555,京MHE650,北京站,3,0.0,5.0,189.0,7.0,0.0,0.56886,34.335,0
2026-01-10,666,京HJH201,朝阳高铁,1,2.0,1.0,112.0,5.0,0.0,0.348697,24.393,0
2026-01-10,777,京FNV919,北京南站,3,0.0,0.0,0.0,7.0,0.0,0.058333,39.645,0
2026-01-12,555,京N7JE86,北京站,3,22.0,17.0,109.0,6.0,0.0,0.487859,34.335,0
2026-01-12,666,京HJH201,朝阳高铁站,1,17.0,24.0,129.0,5.0,0.0,0.526424,24.393,0
2026-01-12,701,京FNV919,市内加车,2,6.0,5.0,74.0,0.0,0.0,0.23688,49.047,0
2026-01-12,777,京FNV919,北京南站,3,23.0,13.0,230.0,7.0,0.0,0.808918,39.645,0
2026-01-13,555,京N7JE86,北京站,3,5.0,6.0,141.0,6.0,0.0,0.460997,34.335,0
2026-01-13,666,京HJH201,朝阳高铁站,1,0.0,0.0,151.0,6.0,1.0,0.45,24.393,0
2026-01-13,777,京FNV919,北京南站,3,3.0,6.0,179.0,5.0,0.0,0.543002,39.645,0
2026-01-14,555,京N7JE86,北京站,3,11.0,7.0,72.0,5.0,0.0,0.302702,34.335,0
2026-01-14,666,京HJH201,朝阳高铁站,1,11.0,40.0,77.0,6.0,0.0,0.411035,24.393,0
2026-01-14,777,京FNV919,北京南站,3,12.0,12.0,84.0,2.0,1.0,0.329901,39.645,0
2026-01-15,555,京N7JE86,北京站,3,3.0,5.0,94.0,1.0,0.0,0.283352,34.335,0
2026-01-15,666,京HJH201,朝阳高铁站,1,1.0,28.0,120.0,6.0,0.0,0.444305,24.393,0
2026-01-15,777,京FNV919,北京南站,3,2.0,5.0,134.0,6.0,2.0,0.430714,39.645,0
2026-01-16,555,京N7JE86,北京站,3,9.0,16.0,51.0,3.0,0.0,0.244794,34.335,0
2026-01-16,666,京HJH201,朝阳高铁站,1,5.0,3.0,143.0,6.0,1.0,0.460997,24.393,0
2026-01-16,777,京FNV919,北京南站,3,0.0,0.0,0.0,6.0,0.0,0.05,39.645,0
2026-01-17,555,京MHE650,北京站,3,3.0,3.0,182.0,6.0,0.0,0.551335,34.335,0
2026-01-17,666,京HJH201,朝阳高铁,1,2.0,0.0,123.0,5.0,0.0,0.375013,24.393,0
2026-01-17,777,京FNV919,北京南站,3,0.0,0.0,0.0,7.0,0.0,0.058333,39.645,0
2026-01-19,555,京N7JE86,北京站,3,21.0,15.0,134.0,6.0,1.0,0.546186,34.335,0
2026-01-19,666,京HJH201,朝阳高铁站,1,24.0,72.0,268.0,0.0,0.0,1.010679,24.393,0
2026-01-19,777,京FNV919,北京南站,3,0.0,0.0,0.0,7.0,0.0,0.058333,39.645,0
2026-01-20,555,京N7JE86,北京站,3,2.0,7.0,158.0,5.0,0.0,0.485539,34.335,0
2026-01-20,666,京HJH201,朝阳高铁站,1,1.0,22.0,293.0,0.0,0.0,0.833778,24.393,0
2026-01-20,777,京FNV919,北京南站,3,5.0,9.0,188.0,6.0,0.0,0.592576,39.645,0
2026-01-21,555,京N7JE86,北京站,3,10.0,5.0,68.0,2.0,2.0,0.262344,34.335,0
2026-01-21,666,京HJH201,朝阳高铁站,1,1.0,0.0,50.0,5.0,0.0,0.178077,24.393,0
2026-01-21,777,京FNV919,北京南站,3,21.0,13.0,108.0,3.0,0.0,0.44487,39.645,0
2026-01-22,555,京N7JE86,北京站,3,0.0,6.0,95.0,3.0,0.0,0.290789,34.335,0
2026-01-22,666,京HJH201,朝阳高铁站,1,2.0,2.0,115.0,2.0,0.0,0.334223,24.393,0
