vehicle_id,delivery_date,route_id,stop_sequence,store_id,store_name,store_w1_load,cumulative_route_load_w1,route_load_w1
京FAM639,2026-03-28,116,1,393380,光明大厦店,0.09562,0.09562,2.035136
京FAM639,2026-03-28,116,1,393380,光明大厦店,0.09562,0.19124,2.035136
京FAM639,2026-03-28,116,2,393651,北京平安国际金融中心店,0.182462,0.373702,2.035136
京FAM639,2026-03-28,116,2,393651,北京平安国际金融中心店,0.182462,0.556164,2.035136
京FAM639,2026-03-28,116,3,394075,超市发羊坊店,0.330708,0.886872,2.035136
京FAM639,2026-03-28,116,3,394075,超市发羊坊店,0.330708,1.21758,2.035136
京FAM639,2026-03-28,116,4,394085,超市发甘家口,0.264041,1.481621,2.035136
京FAM639,2026-03-28,116,4,394085,超市发甘家口,0.264041,1.745662,2.035136
京FAM639,2026-03-28,116,5,398718,北京北站店,0.144737,1.890399,2.035136
京FAM639,2026-03-28,116,5,398718,北京北站店,0.144737,2.035136,2.035136
京FAM639,2026-04-07,116,1,391012,金融街,0.147375,0.147375,2.194862
京FAM639,2026-04-07,116,1,391012,金融街,0.147375,0.29475,2.194862
京FAM639,2026-04-07,116,2,391028,金融街中心,0.117995,0.412745,2.194862
京FAM639,2026-04-07,116,2,391028,金融街中心,0.117995,0.53074,2.194862
京FAM639,2026-04-07,116,3,394075,超市发羊坊店,0.164041,0.694781,2.194862
京FAM639,2026-04-07,116,3,394075,超市发羊坊店,0.164041,0.858822,2.194862
京FAM639,2026-04-07,116,4,394105,超市发西长安街,0.117995,0.976817,2.194862
京FAM639,2026-04-07,116,4,394105,超市发西长安街,0.117995,1.094812,2.194862
京FAM639,2026-04-07,116,5,391074,德胜国际中心,0.12589,1.220702,2.194862
京FAM639,2026-04-07,116,5,391074,德胜国际中心,0.12589,1.346592,2.194862
京FAM639,2026-04-07,116,6,392029,富华大厦,0.086416,1.433008,2.194862
京FAM639,2026-04-07,116,6,392029,富华大厦,0.086416,1.519424,2.194862
京FAM639,2026-04-07,116,7,398718,北京北站店,0.337719,1.857143,2.194862
京FAM639,2026-04-07,116,7,398718,北京北站店,0.337719,2.194862,2.194862
京FAQ401,2026-03-30,103,1,394070,木荷路华为园区,0.260984,0.260984,2.122274
京FAQ401,2026-03-30,103,1,394070,木荷路华为园区,0.260984,0.521968,2.122274
京FAQ401,2026-03-30,103,2,394150,网易研发中心,0.136435,0.658403,2.122274
京FAQ401,2026-03-30,103,2,394150,网易研发中心,0.136435,0.794838,2.122274
京FAQ401,2026-03-30,103,3,394069,互联网创新中心,0.089925,0.884763,2.122274
京FAQ401,2026-03-30,103,3,394069,互联网创新中心,0.089925,0.974688,2.122274
京FAQ401,2026-03-30,103,4,394110,新浪总部大厦,0.180308,1.154996,2.122274
京FAQ401,2026-03-30,103,4,394110,新浪总部大厦,0.180308,1.335304,2.122274
京FAQ401,2026-03-30,103,5,392718,腾讯北京总部店,0.275922,1.611226,2.122274
京FAQ401,2026-03-30,103,5,392718,腾讯北京总部店,0.275922,1.887148,2.122274
京FAQ401,2026-03-30,103,6,394096,超市发农大,0.117563,2.004711,2.122274
京FAQ401,2026-03-30,103,6,394096,超市发农大,0.117563,2.122274,2.122274
京FLV125,2026-03-30,114,1,393082,兆泰国际中心,0.29215,0.29215,2.317048
京FLV125,2026-03-30,114,1,393082,兆泰国际中心,0.29215,0.5843,2.317048
京FLV125,2026-03-30,114,2,392084,南锣鼓巷地铁站,0.196955,0.781255,2.317048
京FLV125,2026-03-30,114,2,392084,南锣鼓巷地铁站,0.196955,0.97821,2.317048
京FLV125,2026-03-30,114,3,392179,东四北大街店,0.15881,1.13702,2.317048
京FLV125,2026-03-30,114,3,392179,东四北大街店,0.15881,1.29583,2.317048
京FLV125,2026-03-30,114,4,393032,长富宫,0.164073,1.459903,2.317048
京FLV125,2026-03-30,114,4,393032,长富宫,0.164073,1.623976,2.317048
京FLV125,2026-03-30,114,5,393688,北京广播大厦酒店店,0.346536,1.970512,2.317048
京FLV125,2026-03-30,114,5,393688,北京广播大厦酒店店,0.346536,2.317048,2.317048
京FLV125,2026-04-06,113,1,393082,兆泰国际中心,0.108352,0.108352,2.095106
京FLV125,2026-04-06,113,1,393082,兆泰国际中心,0.108352,0.216704,2.095106
京FLV125,2026-04-06,113,2,392179,东四北大街店,0.139957,0.356661,2.095106
京FLV125,2026-04-06,113,2,392179,东四北大街店,0.139957,0.496618,2.095106
京FLV125,2026-04-06,113,3,393032,长富宫,0.208384,0.705002,2.095106
京FLV125,2026-04-06,113,3,393032,长富宫,0.208384,0.913386,2.095106
京FLV125,2026-04-06,113,4,393688,北京广播大厦酒店店,0.378115,1.291501,2.095106
京FLV125,2026-04-06,113,4,393688,北京广播大厦酒店店,0.378115,1.669616,2.095106
京FLV125,2026-04-06,113,5,392084,南锣鼓巷地铁站,0.212745,1.882361,2.095106
京FLV125,2026-04-06,113,5,392084,南锣鼓巷地铁站,0.212745,2.095106,2.095106
京FLV125,2026-04-07,114,1,392647,北京泓晟国际中心店,0.139925,0.139925,2.027306
京FLV125,2026-04-07,114,1,392647,北京泓晟国际中心店,0.139925,0.27985,2.027306
京FLV125,2026-04-07,114,2,393082,兆泰国际中心,0.110094,0.389944,2.027306
京FLV125,2026-04-07,114,2,393082,兆泰国际中心,0.110094,0.500038,2.027306
京FLV125,2026-04-07,114,3,392084,南锣鼓巷地铁站,0.142112,0.64215,2.027306
京FLV125,2026-04-07,114,3,392084,南锣鼓巷地铁站,0.142112,0.784262,2.027306
京FLV125,2026-04-07,114,4,392179,东四北大街店,0.269743,1.054005,2.027306
京FLV125,2026-04-07,114,4,392179,东四北大街店,0.269743,1.323748,2.027306
京FLV125,2026-04-07,114,5,393032,长富宫,0.123258,1.447006,2.027306
京FLV125,2026-04-07,114,5,393032,长富宫,0.123258,1.570264,2.027306
京FLV125,2026-04-07,114,6,393688,北京广播大厦酒店店,0.228521,1.798785,2.027306
京FLV125,2026-04-07,114,6,393688,北京广播大厦酒店店,0.228521,2.027306,2.027306
京KEP596,2025-11-13,112,1,391012,金融街,0.060533,0.060533,8.572413
京KEP596,2025-11-13,112,2,394073,超市发花园路,0.229399,0.289932,8.572413
京KEP596,2025-11-13,112,3,394118,超市发学院路超罗,0.087293,0.377225,8.572413
京KEP596,2025-11-13,112,4,392678,北京地铁雍和宫站店,0.128947,0.506172,8.572413
京KEP596,2025-11-13,112,5,391001,月坛北街,0.124129,0.630301,8.572413
京KEP596,2025-11-13,112,6,394148,科技财富中心,7.942112,8.572413,8.572413
京KEP596,2026-03-28,110,1,391012,金融街,0.07896,0.07896,2.142182
京KEP596,2026-03-28,110,1,391012,金融街,0.07896,0.15792,2.142182
京KEP596,2026-03-28,110,2,394105,超市发西长安街,0.206153,0.364073,2.142182
京KEP596,2026-03-28,110,2,394105,超市发西长安街,0.206153,0.570226,2.142182
京KEP596,2026-03-28,110,3,394073,超市发花园路,0.21141,0.781636,2.142182
京KEP596,2026-03-28,110,3,394073,超市发花园路,0.21141,0.993046,2.142182
京KEP596,2026-03-28,110,4,391001,月坛北街,0.221936,1.214982,2.142182
京KEP596,2026-03-28,110,4,391001,月坛北街,0.221936,1.436918,2.142182
京KEP596,2026-03-28,110,5,392678,北京地铁雍和宫站店,0.352632,1.78955,2.142182
京KEP596,2026-03-28,110,5,392678,北京地铁雍和宫站店,0.352632,2.142182,2.142182
京KEP596,2026-03-30,110,1,393707,北京科技财富中心店,0.200877,0.200877,2.603126
京KEP596,2026-03-30,110,1,393707,北京科技财富中心店,0.200877,0.401754,2.603126
京KEP596,2026-03-30,110,2,391012,金融街,0.243898,0.645652,2.603126
京KEP596,2026-03-30,110,2,391012,金融街,0.243898,0.88955,2.603126
京KEP596,2026-03-30,110,3,391001,月坛北街,0.248296,1.137846,2.603126
京KEP596,2026-03-30,110,3,391001,月坛北街,0.248296,1.386142,2.603126
京KEP596,2026-03-30,110,4,392678,北京地铁雍和宫站店,0.023258,1.4094,2.603126
京KEP596,2026-03-30,110,4,392678,北京地铁雍和宫站店,0.023258,1.432658,2.603126
京KEP596,2026-03-30,110,5,394073,超市发花园路,0.300966,1.733624,2.603126
京KEP596,2026-03-30,110,5,394073,超市发花园路,0.300966,2.03459,2.603126
京KEP596,2026-03-30,110,6,394118,超市发学院路超罗,0.284268,2.318858,2.603126
京KEP596,2026-03-30,110,6,394118,超市发学院路超罗,0.284268,2.603126,2.603126
京KEP596,2026-03-31,110,1,393707,北京科技财富中心店,0.194743,0.194743,2.121142
京KEP596,2026-03-31,110,1,393707,北京科技财富中心店,0.194743,0.389486,2.121142
京KEP596,2026-03-31,110,2,391012,金融街,0.071059,0.460545,2.121142
京KEP596,2026-03-31,110,2,391012,金融街,0.071059,0.531604,2.121142
京KEP596,2026-03-31,110,3,391001,月坛北街,0.154386,0.68599,2.121142
京KEP596,2026-03-31,110,3,391001,月坛北街,0.154386,0.840376,2.121142
京KEP596,2026-03-31,110,4,392678,北京地铁雍和宫站店,0.202638,1.043014,2.121142
京KEP596,2026-03-31,110,4,392678,北京地铁雍和宫站店,0.202638,1.245652,2.121142
京KEP596,2026-03-31,110,5,394073,超市发花园路,0.316247,1.561899,2.121142
京KEP596,2026-03-31,110,5,394073,超市发花园路,0.316247,1.878146,2.121142
京KEP596,2026-03-31,110,6,394118,超市发学院路超罗,0.121498,1.999644,2.121142
京KEP596,2026-03-31,110,6,394118,超市发学院路超罗,0.121498,2.121142,2.121142
京KEP596,2026-04-04,110,1,394196,超市发岭南路店,0.05527,0.05527,2.175566
京KEP596,2026-04-04,110,1,394196,超市发岭南路店,0.05527,0.11054,2.175566
京KEP596,2026-04-04,110,2,391012,金融街,0.102644,0.213184,2.175566
京KEP596,2026-04-04,110,2,391012,金融街,0.102644,0.315828,2.175566
京KEP596,2026-04-04,110,3,394105,超市发西长安街,0.313609,0.629437,2.175566
京KEP596,2026-04-04,110,3,394105,超市发西长安街,0.313609,0.943046,2.175566
京KEP596,2026-04-04,110,4,394073,超市发花园路,0.155282,1.098328,2.175566
京KEP596,2026-04-04,110,4,394073,超市发花园路,0.155282,1.25361,2.175566
京KEP596,2026-04-04,110,5,391001,月坛北街,0.192118,1.445728,2.175566
京KEP596,2026-04-04,110,5,391001,月坛北街,0.192118,1.637846,2.175566
京KEP596,2026-04-04,110,6,392678,北京地铁雍和宫站店,0.26886,1.906706,2.175566
京KEP596,2026-04-04,110,6,392678,北京地铁雍和宫站店,0.26886,2.175566,2.175566
京KEP596,2026-04-06,110,1,394196,超市发岭南路店,0.103515,0.103515,2.333588
京KEP596,2026-04-06,110,1,394196,超市发岭南路店,0.103515,0.20703,2.333588
京KEP596,2026-04-06,110,2,391012,金融街,0.151348,0.358378,2.333588
京KEP596,2026-04-06,110,2,391012,金融街,0.151348,0.509726,2.333588
京KEP596,2026-04-06,110,3,394105,超市发西长安街,0.385571,0.895297,2.333588
京KEP596,2026-04-06,110,3,394105,超市发西长安街,0.385571,1.280868,2.333588
京KEP596,2026-04-06,110,4,394073,超市发花园路,0.280301,1.561169,2.333588
京KEP596,2026-04-06,110,4,394073,超市发花园路,0.280301,1.84147,2.333588
京KEP596,2026-04-06,110,5,391001,月坛北街,0.203515,2.044985,2.333588
京KEP596,2026-04-06,110,5,391001,月坛北街,0.203515,2.2485,2.333588
京KEP596,2026-04-06,110,6,392678,北京地铁雍和宫站店,0.042544,2.291044,2.333588
京KEP596,2026-04-06,110,6,392678,北京地铁雍和宫站店,0.042544,2.333588,2.333588
京KEP596,2026-04-07,110,1,391709,北京大钟寺广场店,0.073691,0.073691,2.089638
京KEP596,2026-04-07,110,1,391709,北京大钟寺广场店,0.073691,0.147382,2.089638
京KEP596,2026-04-07,110,2,392525,北京环球贸易中心店,0.039912,0.187294,2.089638
京KEP596,2026-04-07,110,2,392525,北京环球贸易中心店,0.039912,0.227206,2.089638
京KEP596,2026-04-07,110,3,392712,北京恒毅大厦店,0.060539,0.287745,2.089638
京KEP596,2026-04-07,110,3,392712,北京恒毅大厦店,0.060539,0.348284,2.089638
京KEP596,2026-04-07,110,4,394085,超市发甘家口,0.181159,0.529443,2.089638
京KEP596,2026-04-07,110,4,394085,超市发甘家口,0.181159,0.710602,2.089638
京KEP596,2026-04-07,110,5,391001,月坛北街,0.219305,0.929907,2.089638
京KEP596,2026-04-07,110,5,391001,月坛北街,0.219305,1.149212,2.089638
京KEP596,2026-04-07,110,6,392678,北京地铁雍和宫站店,0.076754,1.225966,2.089638
京KEP596,2026-04-07,110,6,392678,北京地铁雍和宫站店,0.076754,1.30272,2.089638
京KEP596,2026-04-07,110,7,394073,超市发花园路,0.283359,1.586079,2.089638
京KEP596,2026-04-07,110,7,394073,超市发花园路,0.283359,1.869438,2.089638
京KEP596,2026-04-07,110,8,394118,超市发学院路超罗,0.1101,1.979538,2.089638
京KEP596,2026-04-07,110,8,394118,超市发学院路超罗,0.1101,2.089638,2.089638
京LHR562,2026-03-30,112,1,393711,微软中国研发集团总部店,0.062738,0.062738,2.017086
京LHR562,2026-03-30,112,1,393711,微软中国研发集团总部店,0.062738,0.125476,2.017086
京LHR562,2026-03-30,112,2,391722,鼎好电子大厦店,0.129405,0.254881,2.017086
京LHR562,2026-03-30,112,2,391722,鼎好电子大厦店,0.129405,0.384286,2.017086
京LHR562,2026-03-30,112,3,394024,融科资讯中心,0.270252,0.654538,2.017086
京LHR562,2026-03-30,112,3,394024,融科资讯中心,0.270252,0.92479,2.017086
京LHR562,2026-03-30,112,4,394072,超市发万柳,0.043879,0.968669,2.017086
京LHR562,2026-03-30,112,4,394072,超市发万柳,0.043879,1.012548,2.017086
京LHR562,2026-03-30,112,5,394103,超市发科南路,0.169336,1.181884,2.017086
京LHR562,2026-03-30,112,5,394103,超市发科南路,0.169336,1.35122,2.017086
京LHR562,2026-03-30,112,6,394142,超市发双榆树超罗,0.332933,1.684153,2.017086
京LHR562,2026-03-30,112,6,394142,超市发双榆树超罗,0.332933,2.017086,2.017086
京LHR562,2026-04-06,111,1,391709,北京大钟寺广场店,0.160552,0.160552,2.039054
京LHR562,2026-04-06,111,1,391709,北京大钟寺广场店,0.160552,0.321104,2.039054
京LHR562,2026-04-06,111,2,394062,火器营地铁站,0.203992,0.525096,2.039054
京LHR562,2026-04-06,111,2,394062,火器营地铁站,0.203992,0.729088,2.039054
京LHR562,2026-04-06,111,3,394112,超市发海淀大街,0.085558,0.814646,2.039054
京LHR562,2026-04-06,111,3,394112,超市发海淀大街,0.085558,0.900204,2.039054
京LHR562,2026-04-06,111,4,394072,超市发万柳,0.062293,0.962497,2.039054
京LHR562,2026-04-06,111,4,394072,超市发万柳,0.062293,1.02479,2.039054
京LHR562,2026-04-06,111,5,394118,超市发学院路超罗,0.060533,1.085323,2.039054
京LHR562,2026-04-06,111,5,394118,超市发学院路超罗,0.060533,1.145856,2.039054
京LHR562,2026-04-06,111,6,394024,融科资讯中心,0.121523,1.267379,2.039054
京LHR562,2026-04-06,111,6,394024,融科资讯中心,0.121523,1.388902,2.039054
京LHR562,2026-04-06,111,7,394103,超市发科南路,0.090815,1.479717,2.039054
京LHR562,2026-04-06,111,7,394103,超市发科南路,0.090815,1.570532,2.039054
京LHR562,2026-04-06,111,8,394142,超市发双榆树超罗,0.234261,1.804793,2.039054
京LHR562,2026-04-06,111,8,394142,超市发双榆树超罗,0.234261,2.039054,2.039054
京LJD975,2026-02-02,140,1,393715,首都国际机场T3四层出发层外西,0.322413,0.322413,2.051614
京LJD975,2026-02-02,140,2,395710,北京首都机场T3三层出发区北指廊店,0.38381,0.706223,2.051614
京LJD975,2026-02-02,140,3,393151,首都机场T3二层到达区外,0.284261,0.990484,2.051614
京LJD975,2026-02-02,140,4,393152,首都机场T3三层出发区东指廊,0.18292,1.173404,2.051614
京LJD975,2026-02-02,140,5,393153,首都机场T3三层出发区西指廊,0.477689,1.651093,2.051614
京LJD975,2026-02-02,140,6,393155,首都机场T3四层出发区外东,0.265834,1.916927,2.051614
京LJD975,2026-02-02,140,7,393156,首都机场T3D出发区,0.134687,2.051614,2.051614
京LJD975,2026-02-09,140,1,393715,首都国际机场T3四层出发层外西,0.329443,0.329443,2.101245
京LJD975,2026-02-09,140,2,395710,北京首都机场T3三层出发区北指廊店,0.444349,0.773792,2.101245
京LJD975,2026-02-09,140,3,393151,首都机场T3二层到达区外,0.320671,1.094463,2.101245
京LJD975,2026-02-09,140,4,393152,首都机场T3三层出发区东指廊,0.314537,1.409,2.101245
京LJD975,2026-02-09,140,5,393153,首都机场T3三层出发区西指廊,0.298716,1.707716,2.101245
京LJD975,2026-02-09,140,6,393155,首都机场T3四层出发区外东,0.216266,1.923982,2.101245
京LJD975,2026-02-09,140,7,393156,首都机场T3D出发区,0.177263,2.101245,2.101245
京LJD975,2026-02-23,140,1,393151,首都机场T3二层到达区外,0.346981,0.346981,2.26792
京LJD975,2026-02-23,140,2,393152,首都机场T3三层出发区东指廊,0.297852,0.644833,2.26792
京LJD975,2026-02-23,140,3,393153,首都机场T3三层出发区西指廊,0.287332,0.932165,2.26792
京LJD975,2026-02-23,140,4,393155,首都机场T3四层出发区外东,0.257507,1.189672,2.26792
京LJD975,2026-02-23,140,5,393156,首都机场T3D出发区,0.171968,1.36164,2.26792
京LJD975,2026-02-23,140,6,393715,首都国际机场T3四层出发层外西,0.459725,1.821365,2.26792
京LJD975,2026-02-23,140,7,395710,北京首都机场T3三层出发区北指廊店,0.446555,2.26792,2.26792
京LJD975,2026-02-24,140,1,393715,首都国际机场T3四层出发层外西,0.61755,0.61755,2.328101
京LJD975,2026-02-24,140,2,395710,北京首都机场T3三层出发区北指廊店,0.422375,1.039925,2.328101
京LJD975,2026-02-24,140,3,393151,首都机场T3二层到达区外,0.286848,1.326773,2.328101
京LJD975,2026-02-24,140,4,393152,首都机场T3三层出发区东指廊,0.289912,1.616685,2.328101
京LJD975,2026-02-24,140,5,393153,首都机场T3三层出发区西指廊,0.260094,1.876779,2.328101
京LJD975,2026-02-24,140,6,393155,首都机场T3四层出发区外东,0.285088,2.161867,2.328101
京LJD975,2026-02-24,140,7,393156,首都机场T3D出发区,0.166234,2.328101,2.328101
京LJD975,2026-03-07,140,1,393715,首都国际机场T3四层出发层外西,0.516667,0.516667,2.051324
京LJD975,2026-03-07,140,2,395710,北京首都机场T3三层出发区北指廊店,0.391667,0.908334,2.051324
京LJD975,2026-03-07,140,3,393151,首都机场T3二层到达区外,0.36886,1.277194,2.051324
京LJD975,2026-03-07,140,4,393152,首都机场T3三层出发区东指廊,0.247368,1.524562,2.051324
